Tabel;Väli;Selgitus
abivahend;creator;"kirje looja isikukood"
abivahend;modifier;"kirje viimase muutja isikukood"
abivahend;id;"kirje identifikaator"
abivahend;jrk;"järjekorranumber valikutes"
abivahend;kood;"väärtuse kood"
abivahend;nimi;"nimetus"
abivahend;kirjeldus;"täiendav kirjeldus"
abivahend;pais;"HTML päisesse lisatav osa (vahendite korral)"
abivahend;ikoon_url;"ikooni failinimi (vahendite korral)"
abivahend;laius;"kuvamisel kasutatav laius (vahendite korral)"
abivahend;korgus;"kuvamisel kasutatav kõrgus (vahendite korral)"
abivahend;kehtib;"olek: 1 - kehtib, 0 - ei kehti"
ainelabiviija;TABEL 1.5;"Kasutaja konkreetses aines testi läbiviijana rakendamise tähis"
ainelabiviija;created;"kirje loomise aeg"
ainelabiviija;modified;"kirje viimase muutmise aeg"
ainelabiviija;creator;"kirje looja isikukood"
ainelabiviija;modifier;"kirje viimase muutja isikukood"
ainelabiviija;id;"kirje identifikaator"
ainelabiviija;profiil_id;"viide kasutaja profiilile"
ainelabiviija;aine_kood;"viide õppeainele, klassifikaator AINE"
ainelabiviija;tahis;"läbiviija tähis antud aines, unikaalne aine piires"
ainepdf;TABEL 1.6;"Ainete seosed eksamikorralduse materjalide väljatrükkimise PDF mallidega"
ainepdf;created;"kirje loomise aeg"
ainepdf;modified;"kirje viimase muutmise aeg"
ainepdf;creator;"kirje looja isikukood"
ainepdf;modifier;"kirje viimase muutja isikukood"
ainepdf;id;"kirje identifikaator"
ainepdf;aine_kood;"ainete klassifikaator"
ainepdf;tyyp;"PDF malli tyyp (faili nimi on kujul TYYP_NIMI.py)"
ainepdf;nimi;"PDF malli nimi (faili nimi on kujul TYYP_NIMI.py)"
ainepedagoog;TABEL 1.7;"Pedagoogi seos õppeainetega, mida õpetab"
ainepedagoog;created;"kirje loomise aeg"
ainepedagoog;modified;"kirje viimase muutmise aeg"
ainepedagoog;creator;"kirje looja isikukood"
ainepedagoog;modifier;"kirje viimase muutja isikukood"
ainepedagoog;id;"kirje identifikaator"
ainepedagoog;pedagoog_id;"pedagoogi kirje"
ainepedagoog;ehis_aine_kood;"aine (EHISe klassifikaator)"
ainepedagoog;ehis_aste_kood;"kooliaste (EHISe klassifikaator)"
ainepedagoog;seisuga;"viimane EHISest andmete kontrollimise aeg"
aineprofiil;TABEL 1.8;"Kasutaja konkreetses aines testi läbiviijana rakendamise profiil"
aineprofiil;created;"kirje loomise aeg"
aineprofiil;modified;"kirje viimase muutmise aeg"
aineprofiil;creator;"kirje looja isikukood"
aineprofiil;modifier;"kirje viimase muutja isikukood"
aineprofiil;id;"kirje identifikaator"
aineprofiil;kasutaja_id;"viide kasutajale"
aineprofiil;aine_kood;"viide õppeainele, klassifikaator AINE"
aineprofiil;keeletase_kood;"keeleoskuse tase, klassifikaator KEELETASE (riigikeele aine korral)"
aineprofiil;kasutajagrupp_id;"viide kasutajagrupile: 29 - suuline hindaja, 30 - kirjalik hindaja, 36 - intervjueerija, 38 - eksamikomisjoni liige (SE ja TE), 46 - eksamikomisjoni esimees (SE ja TE, foreign_keys=kasutajagrupp_id), 47 - konsultant"
aineprofiil;rangus;"rangus"
aineprofiil;halve;"ranguse standardhälve"
aineprofiil;koolitusaeg;"koolituse kuupäev"
aineprofiil;kaskkirikpv;"läbiviija käskkirja lisamise kuupäev"
alatest;TABEL 1.9;"Alatest"
alatest;created;"kirje loomise aeg"
alatest;modified;"kirje viimase muutmise aeg"
alatest;creator;"kirje looja isikukood"
alatest;modifier;"kirje viimase muutja isikukood"
alatest;id;"kirje identifikaator"
alatest;seq;"alatesti järjekorranumber testiosas"
alatest;nimi;"alatesti nimetus"
alatest;numbrita;"kas kuvada ilma järjekorranumbrita (nt juhendi alatesti korral)"
alatest;tahis;"alatesti järjekorranumber kasutajaliideses (kui nubrita alatestid välja jätta)"
alatest;alatest_kood;"alatesti liik (tasemeeksami korral), klassifikaator ALATEST"
alatest;kursus_kood;"lai või kitsas (matemaatika korral), klassifikaator KURSUS"
alatest;piiraeg;"alatesti sooritamiseks lubatud aeg sekundites"
alatest;piiraeg_sek;"true - aeg kuvada kohe sekundites, false, null - minutist suurem aeg kuvada ilma sekunditeta"
alatest;hoiatusaeg;"piirajaga alatesti korral: mitu sekundit enne lõppu antakse hoiatusteade"
alatest;max_pallid;"max pallide arv"
alatest;skoorivalem;"tulemuse arvutamise valem (kasutusel siis, kui tulemus ei ole ülesannete pallide summa)"
alatest;vastvorm_kood;"vastamise vorm, klassifikaator VASTVORM (EISis loodud testide korral sama, mis testiosa vastamise vorm, TSEISist üle kantud testide korral võib olla erinev)"
alatest;sooritajajuhend;"juhend sooritajale"
alatest;ylesannete_arv;"ülesannete arv"
alatest;on_yhekordne;"kas alatest on ühekordselt lahendatav (peale kinnipanekut uuesti avada ei saa)"
alatest;yhesuunaline;"kas alatest on ühesuunaliselt lahendatav (ülesanded tuleb lahendada kindlas järjekorras)"
alatest;peida_pais;"kas lahendajale kuvada EISi päis ja jalus või ainult ülesanded"
alatest;testiosa_id;"viide testiosale"
alatest;komplektivalik_id;"viide komplektivalikule, mille komplektid antud alatesti katavad"
alatest;testivaline;"kas vastatakse peale testi lõppemist (kasutatakse küsimustiku alatesti korral)"
alatest;yl_segamini;"kas ülesanded kuvatakse lahendajale segatud järjekorras"
alatest;rvosaoskus_id;"seos rahvusvahelise tunnistuse osaoskusega, mis vastab sellele alatestile"
alatestigrupp;TABEL 1.10;"Tagasisidetunnuste grupp"
alatestigrupp;created;"kirje loomise aeg"
alatestigrupp;modified;"kirje viimase muutmise aeg"
alatestigrupp;creator;"kirje looja isikukood"
alatestigrupp;modifier;"kirje viimase muutja isikukood"
alatestigrupp;id;"kirje identifikaator"
alatestigrupp;seq;"grupi järjekorranumber"
alatestigrupp;nimi;"grupi nimetus"
alatestigrupp;testiosa_id;"viide testiosale"
alatestisooritus;TABEL 1.11;"Piirajaga alatesti sooritamine"
alatestisooritus;created;"kirje loomise aeg"
alatestisooritus;modified;"kirje viimase muutmise aeg"
alatestisooritus;creator;"kirje looja isikukood"
alatestisooritus;modifier;"kirje viimase muutja isikukood"
alatestisooritus;id;"kirje identifikaator"
alatestisooritus;sooritus_id;"viide sooritusele"
alatestisooritus;alatest_id;"viide alatestile"
alatestisooritus;algus;"soorituse esimese seansi algus"
alatestisooritus;lopp;"soorituse viimase seansi lõpp"
alatestisooritus;seansi_algus;"soorituse viimase seansi algus"
alatestisooritus;lisaaeg;"sooritajale antud lisaaeg, lisandub testiosa piirajale"
alatestisooritus;ajakulu;"kulutatud sekundite arv kõigi lõpetatud seansside peale kokku"
alatestisooritus;staatus;"olek: 3 - registreeritud, 5 - alustamata, 6 - pooleli, 7 - katkestatud, 8 - tehtud, 9 - eemaldatud, 10 - puudus, 11 - vabastatud"
alatestisooritus;yl_arv;"ülesannete arv alatestis sooritaja poolt valitud komplektis"
alatestisooritus;tehtud_yl_arv;"ülesannete arv, milles on vähemalt mõnele küsimusele vastatud"
alatestisooritus;lopetatud_yl_arv;"ülesannete arv, milles on kõigile küsimustele kohustuslik arv vastuseid antud"
alatestisooritus;pallid;"saadud hindepallid"
alatestisooritus;pallid_enne_vaiet;"hindepallid enne vaidlustamist"
alatestisooritus;tulemus_protsent;"saadud hindepallid protsentides suurimast võimalikust tulemusest"
alatestisooritus;max_pallid;"max pallid (lõdva struktuuri korral sõltub valitud komplektist)"
alatestisooritus;oigete_arv;"õigete vastuste arv (koolipsühholoogitesti jaoks)"
alatestisooritus;valede_arv;"valede vastuste arv (koolipsühholoogitesti jaoks)"
alatestisooritus;valimata_valede_arv;"valimata valede vastuste arv, sisaldub õigete arvus (koolipsühholoogitesti jaoks)"
alatestisooritus;valimata_oigete_arv;"valimata valede vastuste arv, sisaldub valede arvus (koolipsühholoogitesti jaoks)"
alatestisooritus;oigete_suhe;"õigete vastuste suhe kõikidesse vastustesse (koolipsühholoogitesti jaoks)"
alatestisooritus;viimane_valitudylesanne_id;"viimane vaadatud valitudylesanne"
alatestisooritus;viimane_testiylesanne_id;"viimane vaadatud testiylesanne"
alatestisooritus;valikujrk;"ülesannete järjekord antud alatestisoorituses (kui on juhusliku järjekorraga alatest)"
alatestisoorituslogi;TABEL 1.12;"Alatestisoorituse kirje muudatuste logi"
alatestisoorituslogi;created;"kirje loomise aeg"
alatestisoorituslogi;modified;"kirje viimase muutmise aeg"
alatestisoorituslogi;creator;"kirje looja isikukood"
alatestisoorituslogi;modifier;"kirje viimase muutja isikukood"
alatestisoorituslogi;id;"kirje identifikaator"
alatestisoorituslogi;alatestisooritus_id;"viide alatestisooritusele"
alatestisoorituslogi;staatus;"sooritamise olek"
alatestisoorituslogi;pallid;"saadud hindepallid"
alatestisoorituslogi;url;"andmeid muutnud tegevuse URL"
alatestisoorituslogi;remote_addr;"muutja klient"
alatestisoorituslogi;server_addr;"muutja server"
arvutusprotsess;TABEL 1.13;"Toimumisaja tulemuste arvutamise protsesside logi"
arvutusprotsess;created;"kirje loomise aeg"
arvutusprotsess;modified;"kirje viimase muutmise aeg"
arvutusprotsess;creator;"kirje looja isikukood"
arvutusprotsess;modifier;"kirje viimase muutja isikukood"
arvutusprotsess;id;"kirje identifikaator"
arvutusprotsess;liik;"protsessi liik: 1 - testi tulemuste arvutamine, 2 - lõpetamiste kontroll, 3 - statistikaraportite genereerimine, 4 - testi statistika arvutamine, 5 - EHISest õppurite andmete uuendamine, 6 - EHISest õpetajate andmete uuendamine"
arvutusprotsess;test_id;""
arvutusprotsess;testimiskord_id;"viide testimiskorrale, mille tulemusi arvutatakse"
arvutusprotsess;toimumisaeg_id;"viide toimumisajale, kui arvutatakse ühe toimumisaja tulemusi"
arvutusprotsess;aasta;"aastaarv, mille lõpetamisi arvutatakse (lõpetamise kontrolli korral)"
arvutusprotsess;nimekiri_id;"viide nimekirjale, kui arvutatakse ühe nimekirja tulemusi"
arvutusprotsess;testsessioon_id;"testsessiooni ID, mille raporteid genereeritakse (statistikaraportite genereerimise korral)"
arvutusprotsess;param;"muud parameetrid (nt regamise protsessis)"
arvutusprotsess;filename;"failinimi"
arvutusprotsess;filesize;"faili suurus baitides"
arvutusprotsess;fileversion;"versioon"
arvutusprotsess;kirjeldus;"protsessi sisu kirjeldus protsesside logi tabelis kuvamiseks"
arvutusprotsess;viga;"protsessis tekkinud vea kirjeldus"
arvutusprotsess;pid;"protsessi ID opsüsteemis"
arvutusprotsess;kasutaja_id;"protsessi käivitanud kasutaja"
arvutusprotsess;algus;"protsessi käivitamise aeg"
arvutusprotsess;lopp;"protsessi lõppemise aeg"
arvutusprotsess;edenemisprotsent;"mitu protsenti tööst on tehtud"
arvutusprotsess;hostname;"rakendusserveri nimi"
aspektihindemarkus;TABEL 1.14;"Eksperthindaja märkus aspekti hinde kohta (vaide korral hindamisel)"
aspektihindemarkus;created;"kirje loomise aeg"
aspektihindemarkus;modified;"kirje viimase muutmise aeg"
aspektihindemarkus;creator;"kirje looja isikukood"
aspektihindemarkus;modifier;"kirje viimase muutja isikukood"
aspektihindemarkus;id;"kirje identifikaator"
aspektihindemarkus;aspektihinne_id;"viide ülesande aspekti hindepallide kirjele, mille kohta märkus käib"
aspektihindemarkus;ekspert_labiviija_id;"viide eksperthindajale, kelle märkusega on tegu"
aspektihindemarkus;markus;"märkuse tekst"
aspektihinne;TABEL 1.15;"Hindaja antud hinne ülesande aspektile.     Kui ülesandel on hindamisaspektid, siis iga aspekti kohta on eraldi kirje.     Muidu ei ole ühtki kirjet."
aspektihinne;created;"kirje loomise aeg"
aspektihinne;modified;"kirje viimase muutmise aeg"
aspektihinne;creator;"kirje looja isikukood"
aspektihinne;modifier;"kirje viimase muutja isikukood"
aspektihinne;id;"kirje identifikaator"
aspektihinne;ylesandehinne_id;""
aspektihinne;hindamisaspekt_id;""
aspektihinne;toorpunktid;"hindaja antud toorpunktid (ülesande skaala järgi)"
aspektihinne;pallid;"hindepallid (testiülesande skaala järgi)"
aspektihinne;markus;"märkused"
aspektihinne;nullipohj_kood;"null punkti andmise põhjus, klassifikaator NULLIPOHJ"
asukohamaarus;TABEL 1.16;"Eksamikohtade asukohamäärus (kohanimed sees- või alalütlevas käändes).     Taseme- ja seaduse tundmise eksami diplomile kirjutatakse eksamikoht käändes (kus?).     Kui eksamikoha asula nime lõpp leitakse siit tabelist, siis rakendatakse tabelis toodud vormi.     Kui asula nime lõppu siit ei leita, siis lisatakse asula nimele  s ."
asukohamaarus;created;"kirje loomise aeg"
asukohamaarus;modified;"kirje viimase muutmise aeg"
asukohamaarus;creator;"kirje looja isikukood"
asukohamaarus;modifier;"kirje viimase muutja isikukood"
asukohamaarus;id;"kirje identifikaator"
asukohamaarus;seq;"järjekorranumber"
asukohamaarus;nimetav;"kohanime lõpp nimetavas käändes"
asukohamaarus;kohamaarus;"kohanime lõpp sees- või alalütlevas käändes"
avaleheinfo;TABEL 1.17;"Olulise info teated avalehel kuvamiseks"
avaleheinfo;created;"kirje loomise aeg"
avaleheinfo;modified;"kirje viimase muutmise aeg"
avaleheinfo;creator;"kirje looja isikukood"
avaleheinfo;modifier;"kirje viimase muutja isikukood"
avaleheinfo;id;"kirje identifikaator"
avaleheinfo;tyyp;"teate tüüp: 1 - hoiatus (punane), 2 - tulemus (roheline), 3 - teavitus/info (sinine)"
avaleheinfo;pealkiri;"teate pealkiri"
avaleheinfo;sisu;"teate sisu"
avaleheinfo;lisasisu;"rohkem infot"
avaleheinfo;kellele;"kellele kuvatakse (komaga eraldatud): X - kõigile, J - sooritajatele, P - õpetajatele, Ox - kõigile õpilastele, O9 - 9. kl õpilastele, M - soorituskoha admin"
avaleheinfo;alates;"kuvamise alguse kuupäev"
avaleheinfo;kuni;"kuvamise lõpu kuupäev"
avaleheinfologi;TABEL 1.18;"Avalehe teadete muudatused"
avaleheinfologi;created;"kirje loomise aeg"
avaleheinfologi;modified;"kirje viimase muutmise aeg"
avaleheinfologi;creator;"kirje looja isikukood"
avaleheinfologi;modifier;"kirje viimase muutja isikukood"
avaleheinfologi;id;"kirje identifikaator"
avaleheinfologi;aeg;"logi aeg"
avaleheinfologi;avaleheinfo_id;"viide teate kirjele"
avaleheinfologi;liik;"tegevuse liik: U - muutmine, I - lisamine, D - kustutamine"
avaleheinfologi;data;"andmed (pickle)"
avaleheinfologi;kasutaja_id;"viide kasutajale"
avalehepilt;TABEL 1.19;"Avalehe pilt"
avalehepilt;created;"kirje loomise aeg"
avalehepilt;modified;"kirje viimase muutmise aeg"
avalehepilt;creator;"kirje looja isikukood"
avalehepilt;modifier;"kirje viimase muutja isikukood"
avalehepilt;id;"kirje identifikaator"
avalehepilt;filename;"failinimi"
avalehepilt;filesize;"faili suurus baitides"
avalehepilt;fileversion;"versioon"
avalehepilt;laius_orig;"pildi/video tegelik laius"
avalehepilt;korgus_orig;"pildi/video tegelik kõrgus"
avalehepilt;alates;"kuvamise alguse kuupäev"
avalehepilt;kuni;"kuvamise lõpu kuupäev"
avalehepilt;autor;"autor"
avalehepilt;allikas;"allikas"
caetestitud;TABEL 1.20;"Õppurite isikukoodid, kes on sooritanud CAE eeltesti,     mis on üks eeltingimusi CAE rahvusvahelisele eksamile registreerimiseks"
caetestitud;created;"kirje loomise aeg"
caetestitud;modified;"kirje viimase muutmise aeg"
caetestitud;creator;"kirje looja isikukood"
caetestitud;modifier;"kirje viimase muutja isikukood"
caetestitud;id;"kirje identifikaator"
caetestitud;isikukood;"isikukood"
deletefile;TABEL 1.21;"Viited S3 failidele, mis tuleks kustutada, kuna on salvestatud uus versioon"
deletefile;created;"kirje loomise aeg"
deletefile;modified;"kirje viimase muutmise aeg"
deletefile;creator;"kirje looja isikukood"
deletefile;modifier;"kirje viimase muutja isikukood"
deletefile;id;"kirje identifikaator"
deletefile;object_name;"MinIO objekt"
deletelog;TABEL 1.22;"Kustutatud kirjete logi.     Vajalik jälgede ajamiseks ja ka selleks,     et kohalikus serveris teaks kustutada keskserveris kustutatud kirjed."
deletelog;created;"kirje loomise aeg"
deletelog;modified;"kirje viimase muutmise aeg"
deletelog;creator;"kirje looja isikukood"
deletelog;modifier;"kirje viimase muutja isikukood"
deletelog;id;"kirje identifikaator"
deletelog;deleted_id;"kustutatud kirje ID"
deletelog;deleted_table;"kustutatud kirje tabeli nimi"
deletelog;data;"kustutatud kirje sisu stringina"
deletelog;bdata;"kustutatud kirje pickle-formaadis"
deletelog_parent;TABEL 1.23;"Kustutatud kirjete vanemtabelite logi.     Vajalik selleks, et ka kohalikus serveris teaks kustutada keskserveris kustutatud kirjed."
deletelog_parent;created;"kirje loomise aeg"
deletelog_parent;modified;"kirje viimase muutmise aeg"
deletelog_parent;creator;"kirje looja isikukood"
deletelog_parent;modifier;"kirje viimase muutja isikukood"
deletelog_parent;id;"kirje identifikaator"
deletelog_parent;deletelog_id;"viide kustutatud kirje logile"
deletelog_parent;parent_id;"kustutatud kirje vanemtabeli ID"
deletelog_parent;parent_table;"kustutatud kirje vanemtabeli nimi"
eeltest;TABEL 1.24;"Testikomplekti avaldamine eeltestimiseks.     Kirje jääb alles ka peale eeltesti kustutamist."
eeltest;created;"kirje loomise aeg"
eeltest;modified;"kirje viimase muutmise aeg"
eeltest;creator;"kirje looja isikukood"
eeltest;modifier;"kirje viimase muutja isikukood"
eeltest;id;"kirje identifikaator"
eeltest;algne_test_id;"viide algsele testile, millest eeltest loodi"
eeltest;avalik_test_id;"viide avalikule testile, mis on algse testi testimiseks loodud (jääb alles ka peale avaliku testi kustutamist)"
eeltest;tagasiside_sooritajale;"kas sooritaja võib testimiskorraga testis tagasisidet näha kohe peale sooritamist, enne koondtulemuse avaldamist"
eeltest;tagasiside_koolile;"kas õpetaja võib testimiskorraga testis tagasisidet näha kohe peale sooritamist, enne koondtulemuse avaldamist"
eeltest;markus_korraldajatele;"testi koostaja märkused korraldajatele"
eeltest;stat_filedata;"eeltesti statistika PDF faili sisu"
eeltest;stat_ts;"eeltesti statistika PDF koostamise aeg"
eeltest_komplekt;TABEL 1.25;""
eeltest_komplekt;eeltest_id;""
eeltest_komplekt;komplekt_id;""
erialatest;TABEL 1.26;"Testi ülesandekomplekti erivajaduste erisused alatestide kaupa"
erialatest;created;"kirje loomise aeg"
erialatest;modified;"kirje viimase muutmise aeg"
erialatest;creator;"kirje looja isikukood"
erialatest;modifier;"kirje viimase muutja isikukood"
erialatest;id;"kirje identifikaator"
erialatest;lisaaeg;"testi sooritamiseks antav lisaaeg sekundites, lisandub testiosa piirajale"
erialatest;dif_hindamine;"kas on diferentseeritud hindamine"
erialatest;komplekt_id;"viide ülesandekomplektile"
erialatest;alatest_id;"viide alatestile"
erikomplekt;TABEL 1.27;"Komplekti seos erivajadustega sooritustega,     mis näitab, milliste sooritajate jaoks komplekt on mõeldud"
erikomplekt;created;"kirje loomise aeg"
erikomplekt;modified;"kirje viimase muutmise aeg"
erikomplekt;creator;"kirje looja isikukood"
erikomplekt;modifier;"kirje viimase muutja isikukood"
erikomplekt;id;"kirje identifikaator"
erikomplekt;sooritus_id;"viide sooritusele (millega on määratud.sooritaja ja testiosa toimumisaeg, foreign_keys=sooritus_id)"
erikomplekt;komplekt_id;"viide komplektile"
eristuskiri;TABEL 1.28;"Testi eristuskiri"
eristuskiri;created;"kirje loomise aeg"
eristuskiri;modified;"kirje viimase muutmise aeg"
eristuskiri;creator;"kirje looja isikukood"
eristuskiri;modifier;"kirje viimase muutja isikukood"
eristuskiri;id;"kirje identifikaator"
eristuskiri;test_id;"viide testile"
eristuskiri;sisu;"eristuskiri tekstina"
eristuskiri;filename;"failinimi"
eristuskiri;filesize;"faili suurus baitides"
eristuskiri;fileversion;"versioon"
erivajadus;TABEL 1.29;"Sooritajate eritingimused"
erivajadus;created;"kirje loomise aeg"
erivajadus;modified;"kirje viimase muutmise aeg"
erivajadus;creator;"kirje looja isikukood"
erivajadus;modifier;"kirje viimase muutja isikukood"
erivajadus;id;"kirje identifikaator"
erivajadus;erivajadus_kood;"eritingimused vanade kirjete korral, eritingimuste klassifikaator ERIVAJADUS"
erivajadus;taotlus;"kas eritingimusi on taotletud"
erivajadus;taotlus_markus;"selgitus eritingimuste taotlemise juurde"
erivajadus;kinnitus;"kas eritingimused on kinnitatud"
erivajadus;kinnitus_markus;"selgitus eritingimuste kinnitamise juurde"
erivajadus;sooritus_id;"viide soorituse kirjele"
erivajadus;kasutamata;"kas lubatud eritingimust ei kasutatud (märgitakse toimumise protokollile)"
ettepanek;TABEL 1.30;"Avaliku vaate kasutajate küsimused ja ettepanekud"
ettepanek;created;"kirje loomise aeg"
ettepanek;modified;"kirje viimase muutmise aeg"
ettepanek;creator;"kirje looja isikukood"
ettepanek;modifier;"kirje viimase muutja isikukood"
ettepanek;id;"kirje identifikaator"
ettepanek;kasutaja_id;"viide kasutajale, kes algatas saatmise"
ettepanek;saatja;"saatja nimi"
ettepanek;epost;"e-posti aadress"
ettepanek;koht_id;"kasutaja koht"
ettepanek;teema;"teema"
ettepanek;sisu;"sisu"
ettepanek;url;"tegevuse URL, kust tagasisidet anti"
ettepanek;ootan_vastust;"kas pöörduja ootab vastuskirja"
ettepanek;on_vastatud;"kas on vastatud"
ettepanek;vastus;"vastuse sisu"
grupiylesanne;TABEL 1.31;"Ülesannete kuulumine gruppidesse"
grupiylesanne;created;"kirje loomise aeg"
grupiylesanne;modified;"kirje viimase muutmise aeg"
grupiylesanne;creator;"kirje looja isikukood"
grupiylesanne;modifier;"kirje viimase muutja isikukood"
grupiylesanne;id;"kirje identifikaator"
grupiylesanne;ylesandegrupp_id;"viide ülesandegrupile"
grupiylesanne;valitudylesanne_id;"viide testi valitud ülesandele"
helivastus;TABEL 1.32;"Helifaili seosed sooritustega ja ülesannetega"
helivastus;created;"kirje loomise aeg"
helivastus;modified;"kirje viimase muutmise aeg"
helivastus;creator;"kirje looja isikukood"
helivastus;modifier;"kirje viimase muutja isikukood"
helivastus;id;"kirje identifikaator"
helivastus;helivastusfail_id;"viide faili kirjele"
helivastus;sooritus_id;"viide sooritusele"
helivastus;ylesanne_id;"viide ülesandele"
helivastus;testiylesanne_id;"viide testiülesandele"
helivastusfail;TABEL 1.33;"Soorituse helifail (võib sisaldada mitme sooritaja vastuseid)"
helivastusfail;created;"kirje loomise aeg"
helivastusfail;modified;"kirje viimase muutmise aeg"
helivastusfail;creator;"kirje looja isikukood"
helivastusfail;modifier;"kirje viimase muutja isikukood"
helivastusfail;id;"kirje identifikaator"
helivastusfail;filename;"failinimi laadimisel"
helivastusfail;filesize;"faili suurus"
helivastusfail;fileversion;"versioon"
helivastusfail;kestus;"kestus sekundites"
helivastusfail;valjast;"true - muu vahendiga salvestatud ja EISi üles laaditud helifail, false - EISi-siseselt salvestatud helifail"
hindamine;TABEL 1.34;"Soorituse ja hindamiskogumi hindamine ja/või sisestamine.     Iga soorituse, hindamisliigi ja sisestuse kohta on üks kirje,      mida erinevad sisestajad võivad sisestada,      välja arvatud eksperthindamise korral, kus on igal eksperdil oma kirje.     Kui on p-test, siis on kahekordne sisestamine."
hindamine;created;"kirje loomise aeg"
hindamine;modified;"kirje viimase muutmise aeg"
hindamine;creator;"kirje looja isikukood"
hindamine;modifier;"kirje viimase muutja isikukood"
hindamine;id;"kirje identifikaator"
hindamine;hindamisolek_id;"viide soorituse hindamiskogumi hindamisolekule"
hindamine;staatus;"hindamise/sisestamise olek: 0 - hindamata, 1 - hindamisel, 2 - tagasi lükatud, 4 - ümber suunatud, 6 - hinnatud (hindaja poolt kinnitatud)"
hindamine;tyhistatud;"kas hindamine on tühistatud (sama soorituse sama liigiga tühistamata hindamise kirjeid ei saa olla rohkem kui üks)"
hindamine;sisestatud;"kas kõigi ülesannete hinded on sisestatud"
hindamine;liik;"hindamise liik (kui hindamisprotokoll on olemas, siis sama, mis hindamisprotokollis): 1 - I hindamine, 2 - II hindamine , 3 - III hindamine, 4 - eksperthindamine, 5 - vaide korral hindamine, 6 - kohtuhindamine"
hindamine;hindaja_kasutaja_id;"viide hindaja kasutajale (igasuguse hindamise korral)"
hindamine;labiviija_id;"viide hindajale (puudub vaide korral hindamisel)"
hindamine;kontroll_labiviija_id;"viide teisele hindajale objektiivhinnatava p-testi korral, kui üks hindaja hindab ja teine kontrollib"
hindamine;ekspertmuutis;"eksperthindamise korral märge, kas kehtivaid palle muudeti"
hindamine;intervjuu_labiviija_id;"viide intervjueerijale (p-testi korral, kui intervjueerija sisestatakse hindamise protokollilt)"
hindamine;hindamisprotokoll_id;"viide hindamisprotokollile (hindamisprotokollilt sisestamise korral"
hindamine;lykkamispohjus;"kirjaliku soorituse korral hindaja põhjendus, kui ta hindamise tagasi lükkas"
hindamine;hindamispohjus;"VI hindamise korral hindamise alus ja põhjendus, miks tulemust muudetakse"
hindamine;uus_hindamine_id;"kirjaliku soorituse korral uue hindaja hindamise kirje, kui antud hindaja lükkas soorituse hindamise tagasi ja määrati uus hindaja"
hindamine;pallid;"hindamise hindepallide summa"
hindamine;loplik;"kas hindamine on lõplik"
